level,equipment_id,code,sent_datetime
1,BMU_1,BMU_1_rack_4_CELL_OVER_TEMP_MEDIUM,2025-08-05 14:30:00
1,BMU_1,BMU_1_rack_4_CELL_OVER_VOLT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_4_OVER_CURRENT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_4_RACK_LOST_COMM,2025-08-29 10:42:00
1,BMU_1,BMU_1_rack_5_CELL_OVER_TEMP_MEDIUM,2025-08-05 14:30:00
1,BMU_1,BMU_1_rack_5_CELL_OVER_VOLT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_5_OVER_CURRENT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_5_RACK_LOST_COMM,2025-08-29 10:42:00
1,BMU_1,BMU_1_rack_6_CELL_OVER_TEMP_MEDIUM,2025-08-05 14:30:00
1,BMU_1,BMU_1_rack_6_CELL_OVER_VOLT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_6_CELL_UNDER_VOLT_MEDIUM,2025-06-21 01:38:00
1,BMU_1,BMU_1_rack_6_OVER_CURRENT_MEDIUM,2025-08-05 14:33:00
1,BMU_1,BMU_1_rack_6_RACK_LOST_COMM,2025-08-29 10:42:00
1,BMU_1,EXPRF_FAN_ALARM,2025-08-11 15:53:00
1,BMU_1,FIRE_PROT_ALARM_I,2025-08-05 14:12:00
1,BMU_1,TMS_ERROR_1,2025-08-29 11:00:00
1,BMU_1,TMS_ERROR_101,2025-11-06 14:12:00
1,BMU_1,TMS_ERROR_102,2025-11-06 14:34:00
1,BMU_1,TMS_ERROR_103,2025-09-17 16:33:00
1,FemcStatus,OC_1_BMS_1,2025-08-05 14:33:00
1,FemcStatus,OT_1_BMS_1,2025-08-05 14:30:00
1,FemcStatus,OV_1_BMS_1,2025-08-05 14:33:00
1,PCS_1,24V_BUFFER_WARNING,2025-11-06 14:12:00
1,PCS_1,48V_POWER_SUPPLY_WARNING,2025-11-06 14:12:00
1,PCS_1,AC_DC_DOOR_WARNING,2025-11-06 14:38:00
1,PCS_1,AMBIENT_TEMP_LIMITATION,2025-07-15 01:12:00
1,PCS_1,BATTERY_VOLT_LIMITATION,2025-11-06 14:11:00
1,PCS_1,CONNECTION_ERROR(PCS_1),2025-09-17 12:53:00
1,PCS_1,EX_POWER_LIMITATION,2025-11-06 14:11:00
1,PCS_1,IGBT_TEMP_LIMITATION,2025-11-27 13:13:00
1,PCS_1,INSULATION_RESISTANCE_WARNING,2025-08-08 11:47:00
1,PCS_1,INVERTER_POWER_LIMITED,2025-11-27 13:13:00
1,PCS_1,INVERTER_WARNING,2025-11-27 12:55:00
1,PCS_1,LOW_INPUT_VOLTAGE,2025-11-06 14:12:00
1,PCS_1,OVER_TEMP,2025-11-27 12:55:00
1,PCS_1,PCS_1_IGBT_TEMP_M1,2025-11-27 12:55:00
1,PCS_1,POWER_MODULE_NOT_READY,2025-11-27 14:54:00
1,PCS_1,SCADA_DATA_WARNING,2025-11-06 14:37:00
1,TR,TR_OVER_TEMP,2025-07-25 14:43:00
1,UPS,UPS電量不足,2025-09-17 17:47:00
1,VDF_1,VDF_1_VDF_Uv,2025-08-07 12:33:00
2,BMU_1,AUXI_POWER_ABNORMALITY,2025-09-17 17:57:00
2,BMU_1,BMU_1_AUXI_POWER_ABNORMALITY,2025-08-07 13:43:00
2,BMU_1,BMU_1_BMS_FAULT,2025-11-06 14:30:00
2,BMU_1,BMU_1_CHARGE_PROHIBIT,2025-09-16 10:40:00
2,BMU_1,BMU_1_DISCHARGE_PROHIBIT,2025-09-16 10:40:00
2,BMU_1,BMU_1_ESBCM_LOST_COMM,2025-08-29 10:42:00
2,BMU_1,BMU_1_FIRE_PROT_FAULT,2025-08-07 13:43:00
2,BMU_1,BMU_1_rack_1_CELL_LOW_TEMP_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_1_CELL_OVER_VOLT_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_2_CELL_LOW_TEMP_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_2_CELL_OVER_VOLT_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_3_CELL_LOW_TEMP_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_3_CELL_OVER_VOLT_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_4_CELL_LOW_TEMP_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_4_CELL_OVER_VOLT_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_5_CELL_LOW_TEMP_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_5_CELL_OVER_VOLT_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_6_CELL_LOW_TEMP_SERIOUS,2025-08-11 14:23:00
2,BMU_1,BMU_1_rack_6_CELL_OVER_VOLT_SERIOUS,2025-08-11 14:23:00
2,BMU_1,CIRCUIT_BREAKER_FEEDBACK,2025-08-29 10:58:00
2,BMU_1,COMB_GAS_ALARM,2025-08-05 14:23:00
2,BMU_1,CONNECTION_ERROR(BMU_1),2025-09-17 12:53:00
2,BMU_1,CONTAINER_ACCESS_CTRL,2025-08-29 10:51:00
2,BMU_1,EXPRF_FAN_ALARM,2025-08-11 15:53:00
2,BMU_1,FIRE_PROT_ALARM_II,2025-08-05 14:12:00
2,BMU_1,FIRE_PROT_FAULT,2025-09-17 17:57:00
2,BMU_1,TMS_ERROR_43,2025-09-17 16:33:00
2,BMU_2,CONNECTION_ERROR(BMU_2),2025-06-12 09:56:00
2,FemcStatus,CONN_ABNORMAL_BMS_1,2025-08-29 11:15:00
2,FemcStatus,CONN_ABNORMAL_PCS,2025-09-16 10:25:00
2,FemcStatus,FIRE_BMS_1,2025-08-05 14:12:00
2,FemcStatus,INSULATION_FAULT,2025-11-06 14:39:00
2,FemcStatus,OC_2_BMS_1,2025-08-07 13:33:00
2,FemcStatus,OV_2_BMS_1,2025-08-11 14:23:00
2,FemcStatus,UT_2_BMS_1,2025-08-11 14:23:00
2,METER_CABINET,CONNECTION_ERROR(METER_CABINET),2025-06-29 14:58:00
2,METER_CABINET,METER_CABINET_CONNECTION_ERROR,2025-08-29 11:16:00
2,METER_FACTORY,CONNECTION_ERROR(METER_FACTORY),2025-06-30 12:05:00
2,METER_FACTORY,METER_FACTORY_CONNECTION_ERROR,2025-09-17 17:47:00
2,METER_MAIN,CONNECTION_ERROR(METER_MAIN),2025-06-18 15:44:00
2,METER_MAIN,METER_MAIN_CONNECTION_ERROR,2025-09-17 18:02:00
2,METER_SUN,CONNECTION_ERROR(METER_SUN),2025-06-12 14:39:00
2,METER_VCB,CONNECTION_ERROR(METER_VCB),2025-07-02 10:43:00
2,PCS_1,EXTERNAL_STOP_SIGNAL,2025-11-27 15:35:00
2,PCS_1,FAN_FAULT,2025-11-27 17:43:00
2,PCS_1,INSULATION_RESISTANCE_FAULT,2025-11-06 14:39:00
2,PCS_1,INVERTER_FAULT,2025-11-06 14:42:00
2,PCS_1,INVERTER_START_INHIBITED,2025-11-27 15:34:00
2,PCS_1,OPERATION_DISABLED,2025-08-08 13:17:00
2,PCS_1,PCS_1_FAULT_19972,2025-08-05 12:23:00
2,PCS_1,PCS_1_FAULT_37207,2025-11-06 14:42:00
2,PCS_1,PCS_1_FAULT_40962,2025-11-06 14:12:00
2,PCS_1,PCS_1_FAULT_40965,2025-09-17 16:31:00
2,PCS_1,SYSTEM_FAULT,2025-11-06 14:42:00
2,ProtectCTRL,E0001,2025-10-21 23:58:00
2,StatusCRTL,E0001,2025-08-05 16:30:00
2,StatusCRTL,E0002,2025-11-27 15:34:00
2,StatusCRTL,E0004,2025-08-12 14:59:00
2,TR,TR_CONNECTION_ERROR,2025-08-29 11:15:00
2,VCB,ABB-FAULT-27,2025-09-17 16:12:00
2,VCB,ABB-WARNING-27,2025-09-17 16:12:00
2,VDF_1,VDF_1_CONNECTION_ERROR,2025-11-06 14:55:00
2,VDF_1,VDF_1_VDF_Uv,2025-11-06 14:12:00
3,DCP_DEHU,CONNECTION_ERROR(DCP_DEHU),2025-06-16 19:01:00
3,FemcStatus,CONNECTION_ERROR(FemcStatus),2025-12-05 11:48:00
3,IO_INTERNET,CONNECTION_ERROR(IO_INTERNET),2025-09-17 12:53:00
3,IO_TCP,CONNECTION_ERROR(IO_TCP),2025-09-17 12:53:00
3,METER_CABINET,METER_CABINET read modbus data error,2025-07-13 14:58:00
3,METER_CABINET,METER_CABINET_communication_error,2025-08-07 13:43:00
3,METER_FACTORY,METER_FACTORY_communication_error,2025-08-06 16:09:00
3,METER_MAIN,CONNECTION_ERROR(METER_MAIN),2025-06-17 19:27:00
3,TR,CONNECTION_ERROR(TR),2025-06-29 14:58:00
3,TR,TR_communication_error,2025-08-07 13:44:00
3,VDF_1,VDF_1_communication_error,2025-08-07 13:44:00
